State                        , Sector                                                                                                   , Project Count, Cost (Cr)
AIIMS Bibinagar              , Uttarakhand                                                                                              ,           262,     35
Rewas Port Project           , Maharashtra                                                                                              ,            65,      0
Rewas Port Project           , West Bengal                                                                                              ,           480,    100
to Gangavaram port           , Andhra Pradesh                                                                                           ,           120,      0
to Gangavaram port           , Assam                                                                                                    ,             0,      0
to Gangavaram port           , Assam                                                                                                    ,             0,      0
(PAIMANA)                    , Assam                                                                                                    ,             0,      0
(PAIMANA)                    , Bihar                                                                                                    ,             0,      0
JHAJHA - BATIA               , Chhattisgarh                                                                                             ,             0,      0
Manufacturing at             , Gujarat                                                                                                  ,             0,      0
(PAIMANA)                    , Jharkhand                                                                                                ,             0,      0
Solapur-tuljapur-Osmanabad   , Maharashtra                                                                                              ,          1472,     80
(PAIMANA)                    , Odisha                                                                                                   ,            30,      2
(PAIMANA)                    , Odisha                                                                                                   ,             0,      0
Bhadrak-Nergundi Third Line  , Odisha                                                                                                   ,             0,      0
Bhadrak-Nergundi Third Line  , Odisha                                                                                                   ,             0,      0
Bhadrak-Nergundi Third Line  , PAN India                                                                                                ,             0,     48
POKHRAN - RAMDEVRA New Line  , Rajasthan                                                                                                ,             0,      0
NATHDWARA- NATHDWARA TOWN NL , Tamil Nadu                                                                                               ,           340,      0
Railway Manufacturing Unit   , Telangana                                                                                                ,             0,      0
(PAIMANA)                    , Uttar Pradesh                                                                                            ,             4,     15
(NHIDCL)                     , Andhra Pradesh                                                                                           ,             0,     67
(MoRTH)                      , Andhra Pradesh                                                                                           ,             0,     81
(PAIMANA)                    , Andhra Pradesh                                                                                           ,             0,      0
(MoRTH)                      , Arunachal Pradesh                                                                                        ,             0,      1
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     40
(NHIDCL)                     , along China border in state of Arunachal pradesh on EPC mode                       Arunachal Pradesh     ,             0,     17
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     31
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     99
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     99
(PAIMANA)                    , Assam                                                                                                    ,             0,     14
(MoRTH)                      , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,      8
(NHIDCL)                     , Assam                                                                                                    ,             0,     19
(PAIMANA)                    , Assam                                                                                                    ,             0,     46
(NHIDCL)                     , Assam                                                                                                    ,             0,      5
(NHIDCL)                     , Assam                                                                                                    ,             0,     30
(NHIDCL)                     , Assam                                                                                                    ,             0,      6
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,     95
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,     20
(NHIDCL)                     , Assam                                                                                                    ,             0,     71
(NHIDCL)                     , Assam                                                                                                    ,             0,    100
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , to Km                                                                                                    ,        463000,     10.000
(NHIDCL)                     , Assam                                                                                                    ,             0,     96
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , to Km                                                                                                    ,        490800,     13.800
(PAIMANA)                    , Assam                                                                                                    ,             0,     95
(PAIMANA)                    , Assam                                                                                                    ,             0,     94
(NHIDCL)                     , Assam                                                                                                    ,             0,     52
(NHIDCL)                     , Bihar                                                                                                    ,             0,     97
(PAIMANA)                    , Bihar                                                                                                    ,             0,      0
(MoRTH)                      , Bihar                                                                                                    ,             0,     98
(MoRTH)                      , Bihar                                                                                                    ,             0,     98
(MoRTH)                      , Bihar                                                                                                    ,             0,     99
(MoRTH)                      , Bihar                                                                                                    ,             0,     32
(MoRTH)                      , Bihar                                                                                                    ,             0,      3
state of Bihar under EPC mode, Bihar                                                                                                    ,             0,     22
(MoRTH)                      , Bihar                                                                                  Bihar             ,             0,     44
(MoRTH)                      , Bihar                                                                                                    ,             0,      9
(MoRTH)                      , Annuity Model HAM basis                                                                Bihar             ,             0,      2
section                      , Chhattisgarh                                                                                             ,             0,      5
(PAIMANA)                    , Chhattisgarh                                                                                             ,             0,     97
& Diu                        , Gujarat                                                                                                  ,             0,     21
& Diu                        , Gujarat                                                                                                  ,             0,     19
& Diu                        , Gujarat                                                                                                  ,             0,     20
(PAIMANA)                    , Gujarat                                                                                                  ,             0,     99
(PAIMANA)                    , to Km                                                                                                    ,         34000,     12
(PAIMANA)                    , to Km                                                                                                    ,         60800,     12
(PAIMANA)                    , to Km                                                                                                    ,         91400,     12
(PAIMANA)                    , to Km                                                                                                    ,        120250,     01
(PAIMANA)                    , Himachal Pradesh                                                                                         ,             0,     56
(MoRTH)                      , Karnataka                                                                                                ,             0,      0
(MoRTH)                      , Karnataka                                                                                                ,             0,     65
(MoRTH)                      , Karnataka                                                                                                ,             0,     30
(MoRTH)                      , Karnataka                                                                                                ,             0,      0
(PAIMANA)                    , Karnataka                                                                                                ,             0,     42
(MoRTH)                      , Karnataka                                                                                                ,             0,      0
(MoRTH)                      , Karnataka                                                                                                ,             0,      0
Hassan section               , Kerala                                                                                                   ,             0,     98
Kadambattukonam-Kazhakuttom  , Madhya Pradesh                                                                                           ,             0,     50
Kadambattukonam-Kazhakuttom  , Madhya Pradesh                                                                                           ,             0,     94
Kadambattukonam-Kazhakuttom  , Madhya Pradesh                                                                                           ,             0,     29
(MoRTH)                      , Madhya Pradesh                                                                                           ,             0,     88
(MoRTH)                      , Madhya Pradesh                                                                                           ,             0,     25
(MoRTH)                      , km in the state of Madhya Pradesh on EPC mode                  Madhya Pradesh                            ,             0,     97
(PAIMANA)                    , Madhya Pradesh                                                                                           ,             0,     60
(PAIMANA)                    , Madhya Pradesh                                                                                           ,             0,     86
(PAIMANA)                    , Madhya Pradesh                                                                                           ,             0,     51
(PAIMANA)                    , Madhya Pradesh                                                                                           ,             0,     67
(PAIMANA)                    , Pradesh on EPC mode                                                                   Madhya Pradesh     ,             0,     13
(MoRTH)                      , Madhya Pradesh                                                                                           ,             0,     35
(MoRTH)                      , Madhya Pradesh                                                                                           ,             0,     47
(MoRTH)                      , Maharashtra                                                                                              ,             0,      0
(MoRTH)                      , Maharashtra                                                                                              ,             0,     95
(MoRTH)                      , Maharashtra                                                                                              ,             0,     66
(MoRTH)                      , in the state of Maharashtra                                                              Maharashtra     ,             0,     88
(MoRTH)                      , Maharashtra                                                                                              ,             0,     95
on EPC mode                  , Maharashtra                                                                                              ,             0,     27
on EPC mode                  , Maharashtra                                                                                              ,             0,     97
on EPC mode                  , Maharashtra                                                                                              ,             0,      0
on EPC mode                  , Maharashtra                                                                                              ,             0,     77
(MoRTH)                      , Maharashtra                                                                                              ,             0,     52
(MoRTH)                      , km                                      Maharashtra                                                      ,             0,     48
(MoRTH)                      , in Gondia District in the state of             Maharashtra                                               ,             0,     34
(MoRTH)                      , Maharashtra                                                                                              ,             0,     28
Nandurshingote to Kolhar     , Maharashtra                                                                                              ,             0,     63
(MoRTH)                      , Maharashtra                                                                                              ,             0,     97
(MoRTH)                      , Maharashtra                                                                                              ,             0,     75
(PAIMANA)                    , Maharashtra                                                                                              ,             0,     93
(MoRTH)                      , Maharashtra                                                                                              ,             0,     87
(MoRTH)                      , km                                                                                       Maharashtra     ,             0,     31
(MoRTH)                      , Maharashtra                                                                                              ,             0,     36
(MoRTH)                      , Two lane with paved shoulder configuartion in the state of Maharashtra on EPC mode       Maharashtra     ,             0,      6
(MoRTH)                      , Maharashtra                                                                                              ,             0,     96
Satara to Mhaswad            , Maharashtra                                                                                              ,             0,     98
Satara to Mhaswad            , Maharashtra                                                                                              ,             0,     62
(MoRTH)                      , Maharashtra                                                                                              ,             0,     80
(MoRTH)                      , Maharashtra                                                                                              ,             0,     83
(PAIMANA)                    , Maharashtra                                                                                              ,             0,     36
(PAIMANA)                    , Maharashtra                                                                                              ,             0,     62
(MoRTH)                      , Maharashtra                                                                                              ,             0,     99
(MoRTH)                      , Maharashtra                                                                                              ,             0,     23
(MoRTH)                      , Maharashtra                                                                                              ,             0,     93
(MoRTH)                      , Maharashtra                                                                                              ,             0,     89
(MoRTH)                      , Maharashtra                                                                                              ,             0,     98
(MoRTH)                      , Maharashtra                                                                                              ,             0,     81
(PAIMANA)                    , Maharashtra                                                                                              ,             0,      0
- Ganjad                     , Manipur                                                                                                  ,             0,     47
- Ganjad                     , Manipur                                                                                                  ,             0,     92
(PAIMANA)                    , Manipur                                                                                                  ,             0,     85
(NHIDCL)                     , Works & Rectification works                                                          Manipur             ,             0,     69
(NHIDCL)                     , Manipur                                                                                                  ,             0,     19
(PAIMANA)                    , Manipur                                                                                                  ,           247,     96
(PAIMANA)                    , Manipur                                                                                                  ,             0,    100
(NHIDCL)                     , Meghalaya                                                                                                ,             0,     13
(NHIDCL)                     , Meghalaya                                                                                                ,             0,     46
(NHIDCL)                     , Meghalaya                                                                                                ,             0,     88
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      6
(NHIDCL)                     , of Mizoram on EPC mode                                                                  Mizoram          ,             0,      0
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      0
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      0
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      0
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      0
Multi-States                 , to km                                                                                                    ,        468100,     10
(NHIDCL)                     , Nagaland                                                                                                 ,             0,     93
(PAIMANA)                    , Nagaland                                                                                                 ,             0,     29
(NHIDCL)                     , Nagaland                                                                                                 ,             0,      0
(NHIDCL)                     , Nagaland                                                                                                 ,             0,     78
(NHIDCL)                     , Nagaland                                                                                                 ,             0,     85
(NHIDCL)                     , Nagaland                                                                                                 ,             0,     49
(NHIDCL)                     , Nagaland                                                                                                 ,             0,     86
(PAIMANA)                    , Odisha                                                                                                   ,             0,      2
(MoRTH)                      , Odisha                                                                                                   ,             0,     18
the State of Odisha          , Punjab                                                                                                   ,             0,     30
(MoRTH)                      , Punjab                                                                                                   ,             0,     96
(MoRTH)                      , Punjab                                                                                                   ,             0,     72
(MoRTH)                      , to km                                                                                                    ,        225770,     12
(PAIMANA)                    , to km                                                                                                    ,        260860,     12
(PAIMANA)                    , to km                                                                                                    ,        303900,     12
(PAIMANA)                    , to km                                                                                                    ,        397700,     03
(MoRTH)                      , Rajasthan                                                                                                ,             0,     66
(MoRTH)                      , Rajasthan                                                                                                ,             0,     43
Jaipur                       , Sikkim                                                                                                   ,             0,     82
(PAIMANA)                    , Sikkim                                                                                                   ,             0,     76
(PAIMANA)                    , Sikkim                                                                                                   ,             0,     81
(NHIDCL)                     , Sikkim                                                                                                   ,             0,     78
(PAIMANA)                    , to Km                                                                                                    ,          4604,     03
(PAIMANA)                    , Telangana                                                                                                ,             0,    100
(PAIMANA)                    , Telangana                                                                                                ,             0,     99
(PAIMANA)                    , Telangana                                                                                                ,             0,     97
(PAIMANA)                    , Telangana                                                                                                ,             0,     99
(PAIMANA)                    , Telangana                                                                                                ,             0,     96
(PAIMANA)                    , Telangana                                                                                                ,             0,     99
(MoRTH)                      , Telangana                                                                                                ,             0,     92
(MoRTH)                      , Telangana                                                                                                ,             0,     63
(PAIMANA)                    , Telangana                                                                                                ,             0,     85
(PAIMANA)                    , Tripura                                                                                                  ,             0,     41
(NHIDCL)                     , Tripura                                                                                                  ,             0,     10
(NHIDCL)                     , Tripura                                                                                                  ,             0,     50
(NHIDCL)                     , Tripura                                                                                                  ,             0,     47
(NHIDCL)                     , Tripura                                                                                                  ,             0,      0
(NHIDCL)                     , Tripura                                                                                                  ,             0,      0
(NHIDCL)                     , Tripura                                                                                                  ,             0,      0
(NHIDCL)                     , Uttar Pradesh                                                                                            ,             0,     91
state of Uttar Pradesh       , Uttar Pradesh                                                                                            ,             0,      0
state of Uttar Pradesh       , Uttar Pradesh                                                                                            ,             0,     90
state of Uttar Pradesh       , Uttar Pradesh                                                                                            ,             0,      2
state of Uttar Pradesh       , Uttar Pradesh                                                                                            ,             0,      0
state of Uttar Pradesh       , Uttar Pradesh                                                                                            ,             0,     56
paved shoulder under EPC mode, Uttar Pradesh                                                                                            ,             0,      9
(MoRTH)                      , Uttar Pradesh                                                                                            ,             0,      0
(MoRTH)                      , Annuity Mode HAM in the State of Uttar Pradesh                                          Uttar Pradesh    ,             0,     20
(MoRTH)                      , Uttar Pradesh                                                                                            ,             0,      5
(PAIMANA)                    , Uttar Pradesh                                                                           Uttar Pradesh    ,             0,     80
(PAIMANA)                    , Uttar Pradesh                                                                                            ,           232,     82
(PAIMANA)                    , Uttarakhand                                                                                              ,             0,      0
(PAIMANA)                    , Uttarakhand                                                                                              ,             0,     17
(MoRTH)                      , Uttarakhand                                                                                              ,             0,     42
(MoRTH)                      , Uttarakhand                                                                                              ,             0,     52
(PAIMANA)                    , Uttarakhand                                                                                              ,             0,     20
(MoRTH)                      , km                                                                Uttarakhand                            ,             0,     33
(MoRTH)                      , Uttarakhand                                                                                              ,             0,     75
(MoRTH)                      , Uttarakhand                                                                                              ,             0,     24
(MoRTH)                      , Uttarakhand                                                                                              ,             0,     96
(MoRTH)                      , Uttarakhand                                                                                              ,             0,    100
(MoRTH)                      , Uttarakhand                                                                                              ,             0,     76
(NHIDCL)                     , Uttarakhand                                                                                              ,             0,     45
(MoRTH)                      , West Bengal                                                                                              ,             0,     84
(NHIDCL)                     , West Bengal                                                                                              ,             0,     98
(MoRTH)                      , in the State of West Bengal on EPC mode                                                     West Bengal  ,             0,      0
Sector - Overview            , Roads & Highways                                                                                         ,           863,    799
Sector - Overview            , Railways                                                                                                 ,           251,    697
Sector - Overview            , Urban Public Transport                                                                                   ,            28,    335
Sector - Overview            , Aviation & Aviation Infrastructure                                                                       ,            26,     21
Sector - Overview            , Shipping                                                                                                 ,             9,     15
Sector - Overview            , Inland Waterways                                                                                         ,             2,      5
Sector - Overview            , Logistics Infrastructure                                                                                 ,             1,    763
Sector - Overview            , Oil & Gas                                                                                                ,            93,    353
Sector - Overview            , Transmission & Distribution                                                                              ,            70,    206
Sector - Overview            , Electricity Generation                                                                                   ,            38,    310
Sector - Overview            , Energy Storage                                                                                           ,            17,     81
Sector - Overview            , Water Resources                                                                                          ,            39,     93
Sector - Overview            , Waste & Water                                                                                            ,            31,      9
Sector - Overview            , Telecommunication                                                                                        ,            14,    151
Sector - Overview            , Healthcare                                                                                               ,            37,     21
Sector - Overview            , Education                                                                                                ,            30,     15
Sector - Overview            , Real Estate                                                                                              ,             6,     37
Sector - Overview            , Coal                                                                                                     ,           118,    185
Sector - Overview            , Steel                                                                                                    ,            19,     18
Sector - Overview            , Metals & Mining                                                                                          ,             7,     10
Sector - Overview            , Construction                                                                                             ,             2,    899
(PAIMANA)                    , Water Resources                                                                                          ,            39, 140376
Assam                        , Bihar             Department of Telecommunications                Telecommunication                      ,             4,   1426.77
Chhattisgarh                 , Gujarat               Department of Higher Education                      Education                      ,             1,    319.74
(PAIMANA)                    , Madhya Pradesh                                                           Water Resources                 ,             3,   3057.95
Meghalaya                    , Education                                                                                                ,             1,    261.70
Punjab                       , Sikkim                   Ministry of Civil Aviation          Aviation & Aviation Infrastructure          ,             1,     51.21
(MoRTH)                      , Arunachal Pradesh                                                                                        ,             0,      1
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     22
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     27
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     99
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     98
Physical Progress            , Assam                                                                                                    ,             0,      0
Physical Progress            , Assam                                                                                                    ,             0,    100
(NHIDCL)                     , to Km                                                                                                    ,        463000,     10.000
(NHIDCL)                     , to Km                                                                                                    ,        490800,     13.800
(NHIDCL)                     , Assam                                                                                                    ,             0,    100
(NHIDCL)                     , Assam                                                                                                    ,             0,     20
(NHIDCL)                     , Assam                                                                                                    ,             0,     71
(NHIDCL)                     , Assam                                                                                                    ,             0,     54
(MoRTH)                      , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,     11
(NHIDCL)                     , Churaibari stretch in the State of Assam on EPC Mode under Bharatmala               Assam                ,             0,     46
(NHIDCL)                     , Assam                                                                                                    ,             0,      6
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,     92
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , and NH                                                                                                   ,            27,     03
(NHIDCL)                     , Manipur                                                                                                  ,             0,     88
(NHIDCL)                     , Manipur                                                                                                  ,             0,     37
(NHIDCL)                     , Manipur                                                                                                  ,             0,      4
(NHIDCL)                     , Manipur                                                                                                  ,             0,     55
(NHIDCL)                     , Manipur                                                                                                  ,           247,     96
(NHIDCL)                     , Meghalaya                                                                                                ,             0,      0
(NHIDCL)                     , Meghalaya                                                                                                ,             0,     36
(NHIDCL)                     , Meghalaya                                                                                                ,             0,     46
(NHIDCL)                     , Meghalaya                                                                                                ,             0,     78
(NHIDCL)                     , to Km                                                                                                    ,        151060,     03
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      0
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      0
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      0
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      0
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      0
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      0
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      0
