State                        , Sector                                                                                                   , Project Count, Cost (Cr)
(NHIDCL)                     , Assam                                                                                                    ,             0,     14.6
(NHIDCL)                     , Assam                                                                                                    ,             0,     31.83
(NHIDCL)                     , Assam                                                                                                    ,             0,     11
(PAIMANA)                    , Assam                                                                                                    ,             0,     20.45
(NHIDCL)                     , to Km                                                                                                    ,        463000,     10.000
(PAIMANA)                    , to Km                                                                                                    ,        490800,     13.800
(PAIMANA)                    , Kmunder EPC mode in the state of Bihar                                           Bihar                   ,             0,      0.05
(MoRTH)                      , Bihar                                                                                                    ,             0,      0
(-) (-)                      , Bihar                                                                                                    ,             0,     33
(-) (-)                      , Bihar                                                                                                    ,             0,     72.51
(-) (-)                      , Bihar                                                                                                    ,             0,     49.78
(PAIMANA)                    , Bihar                                                                                                    ,             0,      5.52
(-) (-)                      , Chhattisgarh                                                                                             ,             0,     97.9
(-) (-)                      , to Km                                                                                                    ,         34000,     12
(-) (-)                      , to Km                                                                                                    ,         60800,     12
(-) (-)                      , to Km                                                                                                    ,         91400,     12
(-) (-)                      , to Km                                                                                                    ,        120250,     01
(-) (-)                      , Himachal Pradesh                                                                                         ,             0,     67.92
(-) (-)                      , Karnataka                                                                                                ,             0,      0
(PAIMANA)                    , Karnataka                                                                                                ,             0,     65
(MoRTH)                      , Karnataka                                                                                                ,             0,     30
(-) (-)                      , Karnataka                                                                                                ,             0,     46.52
Kargil Zanskar Road          , Pradesh on EPC mode                                                                        Madhya Pradesh,             0,     29.09
(-) (-)                      , km in the state of Madhya Pradesh on EPC mode                  Madhya Pradesh                            ,             0,     87.5
(-) (-)                      , Pradesh on EPC mode                                                                   Madhya Pradesh     ,             0,     13.11
(MoRTH)                      , in the state of Maharashtra                                                              Maharashtra     ,             0,    100
(MoRTH)                      , Dahiwadi Village Bus Stop Design chainage Km              Maharashtra                                    ,             0,     68.95
(MoRTH)                      , km                                     Maharashtra                                                       ,             0,     72.2
(-) (-)                      , in Gondia District in the state of            Maharashtra                                                ,             0,     34.15
(-) (-)                      , of Dhawali to Gadchroli road in       Maharashtra                                                        ,             0,     31.97
(-) (-)                      , mode                                                                                     Maharashtra     ,             0,     93.75
(-) (-)                      , km                                                                                       Maharashtra     ,             0,     41.13
(-) (-)                      , Two lane with paved shoulder configuartion in the state of Maharashtra on EPC mode       Maharashtra     ,             0,     15
(PAIMANA)                    , Works & Rectification works                                                               Manipur        ,             0,     76.18
(PAIMANA)                    , Meghalaya                                                                                                ,             0,     93.06
(-) (-)                      , Mizoram                                                                                                  ,             0,     17.12
(PAIMANA)                    , of Mizoram on EPC mode                                                                  Mizoram          ,             0,     18.9
(PAIMANA)                    , Mizoram                                                                                                  ,             0,     13.95
the State of Odisha          , Punjab                                                                                                   ,             0,     45
the State of Odisha          , Punjab                                                                                                   ,             0,     83
(PAIMANA)                    , to km                                                                                                    ,        225770,     12
(PAIMANA)                    , to km                                                                                                    ,        260860,     12
(PAIMANA)                    , to km                                                                                                    ,        303900,     12
(PAIMANA)                    , to km                                                                                                    ,        397700,     03
(-) (-)                      , to Km                                                                                                    ,          4604,     03
(-) (-)                      , Tripura                                                                                                  ,             0,     14
(-) (-)                      , Tripura                                                                                                  ,             0,     57.95
(NHIDCL)                     , Tripura                                                                                                  ,             0,     58.12
paved shoulder under EPC mode, km in the state of Uttar Pradesh on EPC mode          Uttar Pradesh                                      ,             0,      4
(-) (-)                      , Annuity Mode HAM in the State of Uttar Pradesh                                          Uttar Pradesh    ,             0,     25
(-) (-)                      , Uttar Pradesh                                                                           Uttar Pradesh    ,             0,     81.18
(-) (-)                      , Uttarakhand                                                                                              ,             0,     17.78
(PAIMANA)                    , km                                                                Uttarakhand                            ,             0,     35.6
(-) (-)                      , Uttarakhand                                                                                              ,             0,     81.17
(-) (-)                      , Pariyojna on EPC Mode                                                                     Uttarakhand    ,             0,     29.72
(MoRTH)                      , in the State of West Bengal on EPC mode                                                    West Bengal   ,             0,     27.3
Sector - Overview            , Roads & Highways                                                                                         ,           584,    527
Sector - Overview            , Railways                                                                                                 ,           251,    705
Sector - Overview            , Aviation & Aviation Infrastructure                                                                       ,            25,     21
Sector - Overview            , Urban Public Transport                                                                                   ,            25,    311
Sector - Overview            , Shipping                                                                                                 ,             9,     15
Sector - Overview            , Inland Waterways                                                                                         ,             2,      5
Sector - Overview            , Oil & Gas                                                                                                ,            93,    353
Sector - Overview            , Transmission & Distribution                                                                              ,            63,    152
Sector - Overview            , Electricity Generation                                                                                   ,            37,    280
Sector - Overview            , Energy Storage                                                                                           ,            18,     81
Sector - Overview            , Water Resources                                                                                          ,            39,     93
Sector - Overview            , Waste & Water                                                                                            ,            31,      9
Sector - Overview            , Telecommunication                                                                                        ,            14,    151
Sector - Overview            , Education                                                                                                ,            29,     15
Sector - Overview            , Healthcare                                                                                               ,            22,     16
Sector - Overview            , Real Estate                                                                                              ,             6,     37
Sector - Overview            , Coal                                                                                                     ,           115,    158
Sector - Overview            , Steel                                                                                                    ,            19,     18
Sector - Overview            , Metals & Mining                                                                                          ,             7,     10
Sector - Overview            , Construction                                                                                             ,             2,    899
(PAIMANA)                    , Water Resources                                                                                          ,            39, 140622
(PAIMANA)                    , Gujarat                                                               Water Resources                    ,             2,  36817.84
Kerala                       , Madhya Pradesh                                                             Waste & Water                 ,             4,   1124.28
(PAIMANA)                    , Tamil Nadu                     Ministry of Coal                     Electricity Generation               ,             1,    165.50
Education                    , D&E Block S                                                                                              ,            12,      2
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     99
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     98
Physical Progress            , Assam                                                                                                    ,             0,    100
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Churaibari stretch in the State of Assam on EPC Mode under Bharatmala               Assam                ,             0,     46
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,     20
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,    100
Physical Progress            , and NH                                                                                                   ,            27,     03
Physical Progress            , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,     71
(NHIDCL)                     , Assam                                                                                                    ,             0,     54
(NHIDCL)                     , Assam                                                                                                    ,             0,     43
(NHIDCL)                     , Assam                                                                                                    ,             0,    100
(NHIDCL)                     , Manipur                                                                                                  ,           247,     96
(NHIDCL)                     , Manipur                                                                                                  ,             0,     94
(NHIDCL)                     , Manipur                                                                                                  ,             0,     35
(NHIDCL)                     , Manipur                                                                                                  ,             0,     37
(MoRTH)                      , Meghalaya                                                                                                ,             0,     32
(NHIDCL)                     , Meghalaya                                                                                                ,             0,     37
(NHIDCL)                     , Meghalaya                                                                                                ,             0,     41
Physical Progress            , Meghalaya                                                                                                ,             0,     78
(NHIDCL)                     , Meghalaya                                                                                                ,             0,     69
(NHIDCL)                     , Meghalaya                                                                                                ,             0,     33
(NHIDCL)                     , Meghalaya                                                                                                ,             0,      0
(NHIDCL)                     , Meghalaya                                                                                                ,             0,     46
